variableName,default,id,css,xpath,xpath1,xpath2,name,linkText,partialLinkText,className
Opportunit,xpath,,one-app-nav-bar-item-root[data-id='Opportunity'],//one-app-nav-bar-item-root[@data-id='Opportunity']/a[@href='/lightning/o/Opportunity/home'],/html/body/div[4]/div[1]/section/div[1]/div[1]/one-appnav/div/one-app-nav-bar/nav/div/one-app-nav-bar-item-root[5]/a,(//span[text()='Opportunities'])[1],,,
Recentlyview,xpath,,button.slds-button--reset,(//span[text()='Recently Viewed'])[1],//div[contains(@class,'triggerLink')]/div//span[text()='Recently Viewed'],//div[@class='slds-page-header__name-title']//h1//span[2],,
Allopp,xpath,,.forceVirtualAutocompleteMenuOption:nth-child(2)>a,(//div[@class='scroller'])[2]/ul/child::li[2],//ul[@class='slds-dropdown__list slds-show']/li[2],//li[contains(@class,'forceVirtualAutocompleteMenuOption')][2]/a,,,
Allopp1,xpath,,,(//div[@aria-live='polite'])[1]/span[1],//div[@aria-live='polite']/span[@class='countSortedByFilteredBy'],,,,
Clicknew,xpath,,a[title='New'],//ul/li/a[@title='New'],//a[@title='New'],//div[contains(@class,'slds-page-header')])[1]/div/div//ul/li/a/div[@title='New'],,,
Oppname,xpath,,input#input-295,(//div[@class='slds-form-element__control slds-grow'])[1]/input[@type='text'],//div[@id='sectionContent-291']/div/slot//div/span//lightning-input//div/input[@id='input-295'],//label[@for='input-295']/following-sibling::div/input,,,
Accountsearch,xpath,,input[placeholder='Search Accounts...'],//input[@placeholder='Search Accounts...'],//lightning-base-combobox//div//div/input[@placeholder='Search Accounts...'],(//div[@class='slds-form'])[1]//records-record-layout-row[2]//lightning-grouped-combobox//input,,,
Accountsearch1,xpath,,.slds-listbox__item:nth-child(1),//ul/li[@class='slds-listbox__item'],//ul[@aria-label='Recent Accounts']/li[@class='slds-listbox__item'],//li[@class='slds-listbox__item'][1],,,
Closedate,xpath,,,//input[@name='CloseDate'],,,,,
Stage,xpath,,#combobox-button-263,//label[text()='Stage'],//div/lightning-base-combobox//div/button[contains(@aria-label,'Stage')],,,
Selectstage,xpath,,,//lightning-base-combobox-item[@data-value='Needs Analysis'],(//div[contains(@class,'slds-listbox')])[4]/lightning-base-combobox-item[@data-value='Needs Analysis'],,,
Savebutton,xpath,,,//button[@name='SaveEdit'],,,,,
Salesforce,xpath,,,//tbody/tr[1]/th//a[@title='Salesforce'],,,,,
Oppdropdown,xpath,,,//one-app-nav-bar-item-root[@data-id='Opportunity']//one-app-nav-bar-item-dropdown,,,,,
Newopp,xpath,,,//div[@class='menuItemsWrapper']//a//span[text()='New Opportunity'],,,,,
Recentpin,xpath,,,//ul[@role='listbox']/li[9],//li[contains(@class,'slds-is-selected')],,,
Myopp,xpath,,,(//div[@class='scroller'])[2]/ul/child::li[6]/a//span[text()='My Opportunities'],,,,,
Thismonth,xpath,,,(//div[@class='scroller'])[2]/ul/child::li[4]//a,(//div[@class='scroller'])[2]/ul/child::li[4]/a/span[text()='Closing This Month'],,,,
Nextmonth,xpath,,,(//div[@class='scroller'])[2]/ul/child::li[3]/a,(//div[@class='scroller'])[2]/ul/child::li[3]/a/span[text()='Closing Next Month'],,,,
Thisweek,xpath,,,(//div[@class='scroller'])[2]/ul/child::li[7]/a/span[text()='New This Week'],,,,,
Opppipeline,xpath,,,(//div[@class='scroller'])[2]/ul/child::li[8]/a/span[text()='Opportunity Pipeline'],,,,,
Won,xpath,,,(//div[@class='scroller'])[2]/ul/child::li[11]/a/span[text()='Won'],,,,,
Renameopport,xpath,,tbody>tr:nth-child(1)>th,//tbody/tr[1]/th,(//table)[1]/thead/following-sibling::tbody/tr[1]/th,//tbody/child::tr[1]/child::th,//tbody/child::tr[1]/child::th,,
Renameedit,xpath,,tbody>tr:nth-child(1)>th>span>span>button>span:nth-child(1),//div[@id='brandBand_1']/div/div/div/div/div[2]/div/div/div[2]/div[2]/div/div/div/table/tbody/tr[1]/th/span/span/button/span[1],//tbody/tr[7]/th/span/span/button[@type='button'],(.//*[normalize-space(text()) and normalize-space(.)='Edit Opportunity Name: Item 1'])[1]/preceding::span[1]
Savebutt,xpath,,div[class='slds-grid slds-grid--align-center']>button:last-child,//button/span[text()='Save'],//div[@class='slds-grid slds-grid--align-center']//button/span[text()='Save'],//span[text()='Save'],,,
Renamevalue,xpath,,tbody>tr:nth-child(1)>th>span+div>div>div>div>div>div>input,//div[contains(@class,'uiInputText')]/input[@class='slds-grow input'],//tbody/tr[1]/th/span/following-sibling::div//div/input,//tbody/tr[1]/th//input[@type='text'],//tbody/tr[1]//input[@class='slds-grow input'],,,
Renameacc,xpath,,tbody>tr:nth-child(1)>th+td,//tbody/tr[1]/th/following-sibling::td[1],//tbody/tr[1]/th/following-sibling::td//a[@title='Global Media (Sample)'],(//table)[1]/thead/following-sibling::tbody/tr[1]/th/following-sibling::td[1],,,
Renameaccedit,xpath,,tbody>tr:nth-child(1)>td:nth-child(4)>span>span>button>span:nth-child(1),//button[@type='button']//span[text()='Edit Account Name: Item 1'],//tbody/tr[1]/th/following-sibling::td/span//span/button/span[text()='Edit Account Name: Item 1'],//tbody/tr[1]/td[3]//span//button/span[1],,,
RenameAcc,xpath,,tbody>tr:nth-child(1)>td:nth-child(4),//tbody/tr[1]/th/following-sibling::td[1],//tbody/tr[1]/th/following-sibling::td/span[contains(@class,'slds-grid slds-grid--align-spread')]/a[@title='Acme (Sample)'],(//table)[1]/thead/following-sibling::tbody/tr[1]/td[3],,
Accinput,xpath,,div[class='autocompleteWrapper slds-grow']>input[title='Search Accounts'],//div[@class='autocompleteWrapper slds-grow']/input[@title='Search Accounts'],//tbody/tr[1]/td[3]//input,//tbody/tr[1]/th/following-sibling::td[1]/span/following-sibling::div//input,,,
Acmacc,xpath,,div[title='Acme (Sample)'],//div[@role='listbox']//div[@class='listContent']//li/a//div/div[@title='Acme (Sample)'],//div[@role='listbox']//div[@class='listContent']//li[2],//div[@title='Acme (Sample)'],,,
Overlap,xpath,,.deleteIcon,//li[@class='pillContainerListItem']/a/a/span[@class='deleteIcon'],//span[@class='deleteIcon'],//a[@class='deleteAction']/span[@class='deleteIcon'],,,
Newdate,xpath,,tbody>tr:first-child>td:nth-child(6),//tbody/tr[1]/th/following-sibling::td/span/span[contains(@class,'sfaOpportunityDealMotionCloseDate')],//tbody/tr[1]/th/following-sibling::td[3],(//table)[1]/thead/following-sibling::tbody/tr[1]/td[5],,
Newedit,xpath,,tbody>tr:first-child>td:nth-child(6)>span>span:nth-child(2)>button,//tbody/tr[1]/td[5]/span/span[2]/button,//span[@class='triggerContainer']/button//span[text()='Edit Close Date: Item 1'],(.//*[normalize-space(text()) and normalize-space(.)='Edit Stage: Item 1'])[1]/following::span[6],,,
dateinput,xpath,,input[data-interactive-lib-uid='16'],//tbody/tr[1]/th/following-sibling::td[3]//div/div/div//div[@class='form-element']/input[@type='text'],//tbody/tr[1]/td[5]//input,,,,
Type,xpath,,tbody>tr:first-child>td:nth-child(5),//tbody/tr[1]/td[4],//tbody/tr[1]/th/following-sibling::td[2]/span/span[1],(//span/span[contains(text(),'Needs Analysis')])[1]
Typeedit,xpath,,tbody>tr:first-child>td:nth-child(5)>span>span.triggerContainer>button,//tbody/tr[1]/td[4]//span[@class='triggerContainer'],//tbody/tr[1]/th/following-sibling::td[2]//span[@class='triggerContainer']/button,(.//*[normalize-space(text()) and normalize-space(.)='Needs Analysis'])[1]/following::span[2]
Typedrop,xpath,,div.uiPopupTrigger>div>div>a[class='select'],//a[@class='select'],//div[@role='dialog']//div[@class='panel-content scrollable']//div[@class='slds-grow uiMenu']//div/a,//div[@class='slds-grow uiMenu']//div/a[@role='button']
Typeselect,xpath,,a[title="Proposal"],//a[@title='Proposal'],(.//*[normalize-space(text()) and normalize-space(.)='Needs Analysis'])[12]/following::a[1],(.//*[normalize-space(text()) and normalize-space(.)='Closed Won'])[4]/preceding::a[2]
TableView,xpath,,button[title='Display as Table'],//div/button[@title='Display as Table'],//div[contains(@class,'test-listviewdisplayswitcher')]/div/button/lightning-primitive-icon[1],//div[contains(@class,'slds-col slds-no-flex')][2]/child::div[2]/div/button
Kanbantable,xpath,,ul[class*='dropdown__list slds'] >li[title='Kanban'],//li[@title='Kanban'],//div/ul[contains(@class,'dropdown__list slds')]/li[@title='Kanban'],//div/ul/child::li[@title='Kanban']/a[@href='javascript:void(0)']
Kanbanli,xpath,,.wrapperContainer>#kanbanView>div:first-child>section>div>ul>li:first-child>div,(//div/ul/li//div[@class='pipelineViewCardInnerWrapper'])[1],//div[@id='kanbanView']/div[1]/section/child::div/ul/li[1]/div,//div[@id='kanbanView']/child::div[1]//h2/following-sibling::div//li[1]
